Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,AAPL,GOOGL,META,MSFT,AAPL,GOOGL,META,MSFT,AAPL,GOOGL,META,MSFT,AAPL,GOOGL,META,MSFT,AAPL,GOOGL,META,MSFT
Date,,,,,,,,,,,,,,,,,,,,
2010-02-19,6.048293590545654,13.439835548400879,,21.641834259033203,6.094180136204051,13.52110598885789,,21.754669393947992,6.031498622313618,13.413490802097455,,21.581655424760207,6.053992419620312,13.434119548259186,,21.656879326295595,415469600,102021876,,44451800
2010-02-22,6.010804653167725,13.490538597106934,,21.61174774169922,6.0731862489714965,13.607350543656272,,21.76971810484093,5.973916027322339,13.445802248002774,,21.551568897354,6.068387972697071,13.603621646350934,,21.6944941907152,390563600,85698216,,36707100
2010-02-23,5.910035610198975,13.298419952392578,,21.310850143432617,6.038097508192464,13.511166954471795,,21.68696821969142,5.869547971588281,13.229327848805744,,21.130313639001585,5.9982093038230095,13.495509752569152,,21.574133083769098,575094800,114789096,,52266200
2010-02-24,6.018002986907959,13.20894718170166,,21.53652572631836,6.041395734646007,13.382176583520769,,21.656884860396953,5.933427512524327,13.185087731512619,,21.34846664181242,5.945124286816969,13.271329732106608,,21.453780704784073,460566400,92970936,,43165900
2010-02-25,6.058191299438477,13.083685874938965,,21.513954162597656,6.08398338803463,13.134883627686717,,21.55156539616192,5.904937153186134,12.923876524728572,,21.07765725327989,5.919632701398871,13.100833878148624,,21.265716290654385,665126000,132235632,,48735300
2010-02-26,6.136767387390137,13.092878341674805,,21.566614151000977,6.153262438852178,13.21590446854239,,21.702016910626302,6.058191055071087,13.0103643058098,,21.446256461284428,6.069587512313919,13.108288336779474,,21.551569081092197,507460800,81890028,,40370600
2010-03-01,6.267828464508057,13.239267349243164,,21.829891204833984,6.283123445382566,13.254180095737299,,21.852457368789832,6.161659746439926,13.116242163160612,,21.461295700865225,6.170656864676158,13.152528109869841,,21.641832186394222,550093600,89426484,,43805400
2010-03-02,6.263630390167236,13.447291374206543,,21.40864372253418,6.323012418905916,13.561618006406249,,22.04052230904615,6.23033996746918,13.296927894914832,,21.243152258362695,6.296020260041699,13.308608046258886,,21.875030844874665,566546400,174097728,,93123900
2010-03-03,6.278025150299072,13.553170204162598,,21.40864372253418,6.29422068569066,13.62275955415463,,21.52148031173597,6.236338244226479,13.402308509988126,,21.325898707836856,6.266329175585803,13.479602858580805,,21.44625639719372,372052800,123452424,,48442100
2010-03-04,6.319411754608154,13.783560752868652,,21.53652572631836,6.325710017190228,13.821834748583939,,21.551570797425303,6.257030164589803,13.575038985417983,,21.265721620278132,6.276525187291235,13.582494884806025,,21.40864549146324,366041200,127224648,,42890600
2010-03-05,6.566540241241455,14.022652626037598,,21.506437301635742,6.5890336421427,14.10864741548252,,21.574138687730134,6.4369787485756715,13.91553468094141,,21.37855706509933,6.446276186456649,13.95157247797194,,21.559093616425386,899620400,156331512,,56001800
2010-03-08,6.570437431335449,13.979657173156738,,21.53652572631836,6.600727874514571,14.046763119149722,,21.762197488591656,6.5455446982012,13.943123071241631,,21.43873563367713,6.598328936763916,14.036820971331224,,21.453780704784073,429889600,95360544,,39414500
2010-03-09,6.688601970672607,13.922743797302246,,21.664400100708008,6.747983988233552,14.033839748725102,,21.897594335453096,6.5347480155052615,13.831032998295258,,21.476341067074166,6.547344140378251,13.914292450499746,,21.483863600592706,920259200,126936936,,50271600
2010-03-10,6.743184566497803,14.326862335205078,,21.792282104492188,6.762379269589741,14.37781193249888,,21.897596147690958,6.693999741518895,13.972945763874614,,21.664401893646787,6.7128941269514755,14.011468861131334,,21.70953709849341,596218000,225969804,,44891400
2010-03-11,6.762979984283447,14.443425178527832,,21.950244903564453,6.762979984283447,14.569432919756052,,21.95776743511868,6.697600012742808,14.27094024344957,,21.70200710137976,6.715295134054153,14.272431991739065,,21.732095792820473,405700400,169162668,,35349700
2010-03-12,6.795971393585205,14.403660774230957,,22.017955780029297,6.829860850904239,14.620881129695306,,22.100700793377484,6.770478820733172,14.394215875608847,,21.84494178374686,6.8190638269286445,14.617401330503807,,22.055567019298763,416323600,110025864,,31700200
2010-03-15,6.71319580078125,13.997054100036621,,22.03299903869629,6.76298007283493,14.152886386153725,,22.09317787744726,6.605527487069841,13.818605015907067,,21.82237238567955,6.759381865910766,14.084041493271656,,21.950252597372447,493502800,185969844,,37512000
2010-03-16,6.731488227844238,14.047259330749512,,22.093177795410156,6.74738344099691,14.127288079391846,,22.183445335813083,6.673305885504722,13.936909730810804,,21.965297584192108,6.7233908628610335,13.963502631877505,,22.130789031448597,446908000,137122740,,36723500
2010-03-17,6.721593379974365,14.056207656860352,,22.28875160217285,6.791472115150352,14.20259601035636,,22.469289501159164,6.696101207989007,14.023648707858818,,22.11573766998527,6.744986130667619,14.124306210335483,,22.190961555433518,450956800,132731136,,50385700
2010-03-18,6.737486362457275,14.077083587646484,,22.273712158203125,6.747983065011401,14.127785035716604,,22.35645715644559,6.676304449229518,13.99158699101288,,22.190965725184114,6.720990514497417,14.035328841085217,,22.2887557902985,342109600,71016912,,43845200
2010-03-19,6.665511131286621,13.91801929473877,,22.258670806884766,6.755184424741676,14.116848020031103,,22.49186364321931,6.634919959307278,13.850417054568517,,22.078134278615106,6.741688543222876,13.91801929473877,,22.38655102708954,559445600,191576232,,81332100
2010-03-22,6.740488052368164,13.85588550567627,,22.26618766784668,6.777977319438845,14.088266736448327,,22.341411560818486,6.60252927937838,13.775856762680203,,22.108217349128235,6.612126634256938,13.821339457128563,,22.19096377487487,456419600,160031808,,37718200
2010-03-23,6.848752498626709,13.644630432128906,,22.476816177368164,6.861349021551699,13.876017166771057,,22.4918612451474,6.7209901686429,13.47065564307443,,22.123265693215902,6.767176618520834,13.844453667254275,,22.258668433675766,602431200,219831948,,42026600
2010-03-24,6.8790459632873535,13.85166072845459,,22.303794860839844,6.903938699558643,13.914291426373357,,22.45424261955837,6.823262144553223,13.413492099888286,,22.266183638548295,6.827161470001375,13.557890495566253,,22.35645114595848,597780400,262345392,,33987700
2010-03-25,6.797468185424805,13.989599227905273,,22.574602127075195,6.927030024951881,14.216263526962797,,22.99585387777853,6.7854714963444085,13.884716530610364,,22.416631823826272,6.925530038393297,13.893663232303107,,22.43919941994077,542284400,157078764,,73168700
2010-03-26,6.924933433532715,13.98487663269043,,22.311328887939453,6.956423552142521,14.10168858006954,,22.717537184908483,6.854454061737121,13.918517982738065,,22.258672575690188,6.866450755025055,14.048999080813878,,22.634790731501408,640875200,107740152,,55595500
2010-03-29,6.9696197509765625,13.978911399841309,,22.258670806884766,7.014006719351805,14.035328848747428,,22.431684800462758,6.946527315557525,13.932187000193244,,22.228580668118095,6.987915110336642,13.992581497549095,,22.3489383536312,540744400,124055820,,33336000
2010-03-30,7.0733866691589355,14.08478832244873,,22.394067764282227,7.122272783937225,14.107653272383095,,22.46176912420355,7.025400706617771,13.9249789826316,,22.190963684518263,7.095880064073632,13.988356028317696,,22.28875374063994,527310000,79036884,,34954800
2010-03-31,7.04789400100708,14.094977378845215,,22.03299903869629,7.096180280554299,14.160094322635434,,22.35645940024732,7.0316992694416856,13.987858486147763,,21.94273006318149,7.062590347508738,14.043530532213207,,22.29628056149635,430659600,121110768,,63760000
2010-04-01,7.076984882354736,14.13673210144043,,21.935199737548828,7.159759637370515,14.252302347707182,,22.221050196163606,6.98041393441278,14.055957951775447,,21.528993078959648,7.120172163711327,14.200109149946359,,22.078124966856215,603145200,84023892,,74768100
2010-04-05,7.152563095092773,14.191658973693848,,22.017955780029297,7.153162929624061,14.287841221765307,,22.138313467423757,7.040996274814789,14.141701980345458,,21.837419248937604,7.047294937816895,14.188924575366105,,21.912641727476537,684507600,75983940,,34331200
2010-04-06,7.184055328369141,14.122316360473633,,22.055566787719727,7.205048739976729,14.188675953017567,,22.25114838637636,7.107877930584541,14.05222881799531,,21.799806345997727,7.14386720823135,14.153134458787928,,21.92768656685873,447017200,82321596,,47366800
2010-04-07,7.215846538543701,14.006002426147461,,22.0781307220459,7.255434828291907,14.135489023422842,,22.236099620793322,7.157663372909678,13.964248626916312,,21.920160388521918,7.184355616902713,14.099452172112917,,21.93520545548164,628502000,103136760,,58318800
2010-04-08,7.196352481842041,14.104172706604004,,22.506900787353516,7.244038140829377,14.162828247281563,,22.552034544833994,7.139069467330987,13.919262225141686,,22.04051384413428,7.211048032064022,14.00053361623341,,22.05555890821987,572989200,77822100,,63713800
2010-04-09,7.251533031463623,14.072609901428223,,22.822845458984375,7.254533004818817,14.135985999648751,,22.875501761196457,7.211645238377094,14.017434156777155,,22.49186114322421,7.240736811281731,14.104173401393837,,22.52947381250186,334182800,82181736,,54752500
2010-04-12,7.266531944274902,14.234407424926758,,22.807798385620117,7.289924698810228,14.265969978047472,,22.935678580365444,7.252135910193184,14.072610033798671,,22.725051955262405,7.263832287460846,14.100694682254302,,22.755142088038482,333026400,94001904,,37068800
2010-04-13,7.270729064941406,14.583352088928223,,22.905595779418945,7.281826406896247,14.63579343782227,,22.943207020295567,7.231140777083024,14.194642240095604,,22.664878959567208,7.2536349779077005,14.229436442396063,,22.6799240298286,306210800,156335508,,41374600
2010-04-14,7.368503093719482,14.638776779174805,,23.183917999267578,7.372102103042849,14.721787135151155,,23.319320736333125,7.319918069549329,14.514757073985578,,23.063560329604115,7.356206878955137,14.665120583484633,,23.161351832941055,404076400,135971892,,68941200
2010-04-15,7.465371608734131,14.7953519821167,,23.221534729003906,7.468670298945257,14.858480876200346,,23.281713574360356,7.363101801173739,14.621129039802732,,23.10117560351415,7.371199168671845,14.717560386098993,,23.18392205392059,376784800,270201528,,52745400
2010-04-16,7.419785022735596,13.673213005065918,,23.071077346801758,7.531951702492972,14.136980048986798,,23.304270096669146,7.33431058513382,13.660289254962679,,23.018421058261662,7.454874149349686,13.992581648877646,,23.16134629485353,750545600,488930580,,88703100
2010-04-19,7.409885883331299,13.671969413757324,,23.34941864013672,7.434478296210042,13.768650809129793,,23.507387596089444,7.250932949223389,13.545217212800045,,23.13879193075601,7.408686214369062,13.638416914848953,,23.146314466960007,566924400,155604240,,64970300
2010-04-20,7.335509777069092,13.794746398925781,,23.590131759643555,7.475268041459995,13.909570295312575,,23.650310608631344,7.286624456348288,13.695828802162188,,23.41711631337385,7.453974312672513,13.773124098455492,,23.484817697832227,738326400,118976904,,52199500
2010-04-21,7.774281024932861,13.77635383605957,,23.56756019592285,7.805172116591022,13.924232971414218,,23.695440407896218,7.669611854851762,13.723167091216489,,23.492336288624987,7.761684494181009,13.830036883178458,,23.56756019592285,982391200,95564340,,55343100
2010-04-22,7.991713523864746,13.596415519714355,,23.612695693969727,8.000111208500508,13.731619072643324,,23.718009745802522,7.683705255319266,13.504208418520694,,23.244100099496936,7.744887585389674,13.71919257148095,,23.349414151329732,793424800,131096772,,84847600
2010-04-23,8.122479438781738,13.544965744018555,,23.28923225402832,8.16296709992727,13.652582827514824,,23.75561933314942,8.007613839483858,13.477364450992823,,23.05603943185612,8.037304470651463,13.601135983642102,,23.409591367008524,796955600,83492424,,126766600
2010-04-26,8.082582473754883,13.21317195892334,,23.402069091796875,8.17135555065534,13.54496710192422,,23.52994930565061,8.043293726182423,13.152777461180039,,23.214010038175303,8.153961156206334,13.5444707996139,,23.319322649074834,479068800,174577248,,63649300
2010-04-27,7.858853340148926,13.149049758911133,,23.206478118896484,8.032801383228065,13.379441992814222,,23.507372196050706,7.813267508753927,13.103567064299579,,23.131254240913893,8.01570649624311,13.146315360640719,,23.28170199687907,709343600,153634212,,68730900
2010-04-28,7.84565544128418,13.152280807495117,,23.251611709594727,7.917633174807431,13.292454950735504,,23.319313055829227,7.690002000856567,12.949475019220996,,23.033464043220555,7.895140583557901,13.224604554448339,,23.25913424081813,758402400,136107756,,64557900
2010-04-29,8.056797981262207,13.222119331359863,,23.319320678710938,8.097585151751478,13.333961630949998,,23.64278245317344,7.857957121524529,13.089650176306886,,23.071082806296367,7.888247581948948,13.256170028427755,,23.26666437771036,558840800,122233644,,52665200
2010-04-30,7.830361843109131,13.06554126739502,,22.97329330444336,8.114676237582033,13.36328664751738,,23.37950008987573,7.827662987816641,13.059078919119544,,22.958248236707476,8.076887458403576,13.200496656333552,,23.37197755600779,542463600,97318584,,63214800
2010-05-03,7.9881157875061035,13.187324523925781,,23.214008331298828,8.034002742573835,13.244984623537881,,23.364454702268056,7.884046467039482,13.050131978692479,,23.003381690209977,7.912838533230188,13.085425324266343,,23.071083059317946,454342000,74237688,,43989500
2010-05-04,7.758082866668701,12.585121154785156,,22.664871215820312,7.896341937904795,13.091389286422983,,22.980810409480576,7.700200830346739,12.531438104446535,,22.37902215240216,7.884346046847367,13.085921436785465,,22.958244246575372,723819600,242808948,,82085600
2010-05-05,7.677407741546631,12.669374465942383,,22.45425033569336,7.741888764519555,12.817501753892447,,22.63478684732911,7.459672570811604,12.4384840369789,,22.333892661269527,7.588634616757451,12.451159635113328,,22.394071498481445,883103200,183104712,,66833800
2010-05-06,7.38529634475708,12.39374828338623,,21.799802780151367,7.745188364177261,12.86223871593643,,22.476815012590396,5.975716398991462,11.432659817990462,,20.994910347769014,7.612628095647045,12.644272025818424,,22.258667280202697,1285860800,199803996,,128613000
2010-05-07,7.073687553405762,12.256307601928711,,21.220584869384766,7.394892205726832,12.559024517440012,,21.777240981792627,6.754283205906955,11.962785538333595,,20.551095036181238,7.309118252130935,12.426057184229327,,21.762195911775798,1676018400,203356440,,173718100
2010-05-10,7.61742639541626,12.964884757995605,,21.76971435546875,7.637220942095999,12.99396390672486,,22.175921126144257,7.453675513484809,12.739960355586087,,21.596698952344767,7.505260500954245,12.77400915754257,,21.822370655854783,984306400,164954880,,86653300
2010-05-11,7.693302631378174,12.651728630065918,,21.724576950073242,7.794371951120765,12.92089306513702,,22.303799065114138,7.5127564342192406,12.631099882007081,,21.491384171401148,7.552943747785503,12.81626041795815,,21.574130597771685,848906800,132771096,,63789400
2010-05-12,7.860351085662842,12.560765266418457,,22.145837783813477,7.891541677508597,12.72604246911153,,22.25115041006158,7.758681945138481,12.476512261761965,,21.75467455092491,7.774875874265577,12.72604246911153,,21.799808328634537,654379600,153917928,,47146800
2010-05-13,7.74848747253418,12.697210311889648,,21.995384216308594,7.947627782843562,12.973581526729848,,22.363979746951962,7.6897044742593375,12.684534714404405,,21.950250450354204,7.894243296733005,12.836886246788119,,22.010429283218908,599712400,132898968,,45188800
2010-05-14,7.612327575683594,12.613951683044434,,21.762182235717773,7.692103988907666,12.699945532167229,,21.97280734448236,7.482766484167351,12.333603381113091,,21.54403316189623,7.652515699644949,12.669623733286068,,21.96528624897729,759362800,164475360,,63334000
2010-05-17,7.624320030212402,12.624887466430664,,21.76971435546875,7.683102997145725,12.634580516090407,,21.987862090607532,7.429078349029004,12.385795714343788,,21.40111881798996,7.638716054974918,12.595312015123735,,21.905117090619445,762834800,111640248,,46053300
2010-05-18,7.568540096282959,12.386292457580566,,21.611034393310547,7.754184502689804,12.699447847859751,,21.91328633030596,7.505558263327263,12.353982609082557,,21.45990770418738,7.707098687260399,12.675340247419456,,21.815054991251547,782678400,112906980,,52690600
2010-05-19,7.447973728179932,12.288368225097656,,21.33900260925293,7.5853326127896175,12.41288421138983,,21.679036870313784,7.343305420421329,12.122097496055014,,20.998969789442707,7.482763325166407,12.333849970518491,,21.550579642940864,1025726800,137690172,,61746700
2010-05-20,7.130671501159668,11.805712699890137,,20.485145568847656,7.313316741122473,12.068415744231134,,21.03675554860521,7.084184717812285,11.775639999897091,,20.43225165863131,7.254233430559713,12.05574014522616,,20.893185334267297,1282915200,196335468,,87991100
2010-05-21,7.267430782318115,11.732146263122559,,20.281126022338867,7.3328111569185195,12.05400118064228,,20.48514663630545,6.938428286787931,11.542016999010084,,19.97887406160191,6.982514931917738,11.657834457139693,,20.12244284217007,1223891200,387244368,,117596300
2010-05-24,7.400587558746338,11.859147071838379,,19.85040855407715,7.524750885580487,12.1730478533905,,20.296230551479372,7.385592498557725,11.850200370585458,,19.842852078040618,7.416183254223429,11.947874366637473,,20.28867407544284,754238800,173650176,,73711700
2010-05-25,7.354403972625732,11.856910705566406,,19.69928741455078,7.400589635884498,11.866354656122725,,19.895751522588693,7.112676230813973,11.532322380673985,,19.177901952498278,7.17835611846706,11.635215126505473,,19.381922538681973,1048006400,120575304,,98373600
